# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Updated, 05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Name,"Mean cosine of angle between halo spin axis and three principle axis (minor, middle,major) for group of halos of the same size n_p, where n_p is number of particles in halo. Halos are assumed to be ellopsoids with three axis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [3]  Fig. 22,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,,,,,,,,,,,,,,,,,,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
21,0,0,-0.012009086,0.045243097,0.006412589,0.014606666,0.008804262,-0.017370698,0.016718853,-0.007725306,0,0,-0.114102209,0.02947799,0.010464214,0.001864211,0.026700558,0.01699225,-0.006881147,-0.005840505,0,0,-0.00174095,-0.021372039,0.005252601,-0.016474871,0.003900994,0.013047048,0.00554451,0.008957413
22,0,0,-0.170173635,0.040248175,0.026203739,0.033299894,0.005701508,0.00204395,0.016952452,0.003351062,0,0,0.044663007,0.026005633,-0.032063093,0.001421661,-0.001097704,0.008964061,-0.004325945,0.025242975,0,0,0.048857265,0.000410411,-0.001568039,-0.006862292,0.001986897,0.005500417,-0.007640765,0.000494593
23,0,0,0.113644703,0.023422171,0.009131362,0.00193395,-0.006258308,0.002588674,0.010043017,-0.016266441,0,0,-0.08593597,-0.012157846,-0.010745427,0.015269881,0.006527626,-0.002772279,-0.00698702,0.023219581,0,0,0.090772142,-0.0137426,0.007429355,0.000366008,-0.003637959,0.000904972,0.004021925,-0.012280161
24,0,0,0.129039809,0.004951263,0.004589174,-0.001737809,0.013318888,0.016190002,-0.013934955,0.003109004,0,0,-0.167417225,-0.049289757,-0.01972924,0.007228393,-0.018553148,0.009990995,0.009858444,-0.00326053,0,0,-0.154325531,0.011119726,-0.001238599,0.008618089,-0.007799307,-0.014301215,0.004191902,-0.012119628
25,0,0,-0.152643479,-0.001628251,-0.030490756,0.014751893,-0.009515015,-0.010047281,-0.005743491,-0.008340011,0,0,-0.096819474,0.005998188,0.018438248,-0.010115283,-0.007812782,0.011256483,-0.011228954,-0.000346609,0,0,0.082234717,-0.005956562,-0.011000666,0.006713754,0.012884843,0.01231068,-0.017300933,-0.003991586
26,0,0,-0.179438113,-0.012909397,0.012047396,-0.01724346,0.001785338,-0.010802275,-0.009656111,0.004400656,0,0,0.032224233,-0.049641466,-0.018588093,-0.00902082,0.005454571,0.005644909,-0.005202157,0.002960181,0,0,0.119297702,-0.017002402,0.048926968,0.027896952,0.020015925,0.002617886,-0.005998141,-0.005682631
27,0,0,0.112211574,0.013914759,-0.044137496,-0.014707543,0.004318012,0.022923518,0.016973492,-0.010585551,0,0,-0.143501002,-0.021470002,0.002517748,0.011634589,0.020825287,0.001570812,0.016334123,-0.009499285,0,0,0.007856091,-0.008987625,0.043297506,0.007252643,0.007682298,-0.020458106,-0.030298367,-0.008041909
28,0,0,0.06467789,-0.041998175,-0.004969783,0.007161813,0.004273044,0.01289598,-0.011248913,-0.006313427,0,0,0.014673141,-0.053838154,-0.030116013,0.004243305,-0.028610112,0.00083408,0.005673323,-0.009920561,0,0,0.013696082,0.011076715,-0.018591898,-0.006611165,-0.012893254,0.001026393,-0.028859783,-0.000404293
29,0,0,0.214634204,0.034022629,-0.005631155,0.005161837,0.006063366,-0.038394109,0.024123276,-0.010690156,0,0,0.035007479,0.09629823,-0.041484273,-0.048247071,0.001489702,0.004566927,0.034839705,0.01639272,0,0,-0.01981537,0.000459976,0.010437637,-0.011117022,-0.006261477,0.006933736,-0.00220984,0.020676594
30,0,0,-0.263789026,0.02793833,-0.041557088,0.013832822,-0.00405007,-0.051552295,0.01931757,0.011590283,0,0,-0.086819685,-0.010893744,0.017723056,-0.017983545,-0.011305686,-0.025593297,-0.012583399,0.021656747,0,0,-0.047203727,0.00578743,-0.002561159,0.013188193,0.023764558,-0.001324832,0.013613773,-0.006110942
31,0,0,0.275376095,0.023784756,0.085932713,-0.009810214,0.011760049,0.002445709,-0.02190364,-0.005292986,0,0,-0.068249988,-0.003375585,0.00416947,-0.028252964,-0.032193765,0.037348513,0.011827684,0.002477075,0,0,0.080517523,0.023614372,0.026312842,0.012015829,-0.003144414,-0.00338772,0.003216126,0.010179373
32,0,0,-0.267318902,0.028792665,0.045724647,-0.013023903,0.034773222,0.030409924,0.002213577,-0.019185521,0,0,-0.16881475,-0.010607916,0.031136104,0.006258687,-0.02448918,-0.003637915,-0.004117256,0.010486876,0,0,-0.405418509,0.072247604,-0.00656508,-0.019161095,-0.014935056,-0.005968539,0.010943818,0.014597187
33,0,0,-0.403199543,-0.031942685,0.039746333,0.002528951,0.000848673,-0.005283019,-0.014905961,-0.018263822,0,0,0.418869259,-0.072871927,0.005341224,-0.015053318,0.017899401,0.008722732,-0.002968256,0.022147752,0,0,0.147633829,0.002926469,0.048020166,-0.003110942,0.006195661,0.003613393,-0.008089932,-0.005899119
34,0,0,0.188919724,-0.018138143,-0.023371517,0.004391624,-0.040104931,0.020449748,0.036474766,-0.021151946,0,0,-0.39627725,-0.000609138,0.011531272,-0.009533677,-0.036639888,-0.032667483,0.026892696,0.007028516,0,0,0.076781242,-0.016013572,0.001719994,0.000156376,-0.007259349,0.012176768,-0.022393982,0.005929939
35,0,0,-0.109242708,-0.058934052,-0.03908014,0.023619361,-0.031007479,0.024790811,-0.022759271,0.001685944,0,0,0.081246738,-0.010841618,0.052289645,0.010532739,0.003008936,0.003567983,-0.029612036,-0.03176406,0,0,0.012725008,0.040539666,-0.0065739,-0.002747531,-0.008144891,0.01278452,0.009026253,-0.004877884
36,0,0,0.103740445,0.075260539,-0.008537269,-0.005875736,0.012650952,0.004288486,0.003364252,-0.016725752,0,0,-0.342740196,0.030453991,0.004317936,0.04414289,-0.036939211,0.028879994,-0.006856045,0.008881686,0,0,-0.017232002,-0.001856085,0.015698129,-0.008953101,-0.022255753,-0.034065307,0.00298487,0.019442451
37,0,0,-0.507541427,-0.007789739,-0.016537663,-0.029791074,0.018281986,-0.017660359,0.024466499,0.014723723,0,0,0.132036248,0.032336406,-0.035359312,-0.046913946,0.018055314,-0.031460961,-0.032396912,0.001931101,0,0,0.267083109,0.039507443,0.006361207,-0.01219625,0.025194156,-0.011125357,0.00613813,-0.023399538
38,0,0,0.40645309,-0.051066793,-0.023931278,0.040749128,0.004551899,0.013878552,-0.025571103,0.022439264,0,0,0.400662506,0.043905428,-0.019627328,-0.049100101,-0.0114912,0.037044222,-0.03415144,0.041525257,0,0,-0.172508288,-0.002404256,0.042354718,0.01868679,0.013812019,-0.015603039,0.001388401,-0.004899663
39,0,0,-0.00231854,0.008645856,-0.034208784,0.018172256,0.033379102,0.023269742,0.014296501,-0.014393416,0,0,0.999362236,0.086387252,-0.00603663,0.021534316,-0.012876343,0.001416399,0.058643348,0.027188782,0,0,0.035633495,-0.064894204,-0.001973545,-0.019714414,-0.010927742,0.011047848,0.009820881,-0.029687727
40,0,0,0.125716118,-0.034815328,-0.02002165,-0.032993277,-0.018832761,0.009961708,-0.00912423,-0.006703581,0,0,0.083905177,-0.18365242,-0.021357287,-0.015590383,0.031214897,-0.044108564,-0.037372376,-0.032730904,0,0,0.287569956,-0.078840698,0.003741512,-0.004898743,-0.005482641,-0.007059123,-0.019035413,0.019259017
41,0,0,0.015844737,-0.080951874,-0.023753961,0.004062068,-0.005750018,-0.000375126,0.005750736,-0.029343514,0,0,-0.402481261,2.06E-05,0.030369735,0.004129486,-0.00037679,-0.043133453,-0.001502964,-0.017247653,0,0,0.457501849,0.068681235,-0.037359585,0.010498721,-0.00068141,0.039299465,-0.017453871,-0.012595976
42,0,0,-0.448457237,0.119479054,-0.039426652,0.008979884,-0.023183836,-0.010075357,-0.015470851,-0.009580677,0,0,0.362046014,0.045209661,0.024782681,0.004706007,-0.014857584,0.011030415,0.038779384,-0.006778525,0,0,-0.312042741,0.054127389,0.027686629,-0.04476373,-0.01675062,0.035216388,-0.0215543,0.011839629
43,0,0,0.230822055,0.180674425,0.097009963,0.037452328,0.008271723,-0.020466329,-0.007657661,0.004369992,0,0,0.021667391,0.011465232,-0.027714141,0.008375791,-0.008287194,0.016648446,-0.004353397,-0.037258358,0,0,-0.127114963,0.091555964,-0.001475739,-0.059068521,-0.037365838,0.009229922,0.020032992,-0.00146803
44,0,0,0.999744428,0.125233588,-0.066632356,0.046269901,-0.00512639,0.045995319,0.018629538,0.057885076,0,0,0.001843579,0.23189525,-0.000991695,-0.033804781,-0.033331367,0.027595032,-0.017670192,0.000624558,0,0,-0.022531746,-0.055963804,-0.00131774,0.020792919,0.009736312,-0.019256477,0.004192084,-0.006820976
45,0,0,-0.343712595,0.077438184,-0.042499652,-0.014653338,-0.03908529,0.036943551,-0.001789609,-0.021641798,0,0,0.562121569,-0.042829228,0.072827585,0.041137057,-0.023562652,0.055314165,-0.005138904,-6.46E-06,0,0,-0.470484907,0.111888031,-0.002351112,0.053093773,0.005572295,-0.019633883,-0.029426388,-0.027818058
46,0,0,0.047678186,-0.051377801,-0.045781642,0.019200451,-0.017195818,-0.006474741,-0.010877176,-0.016754086,0,0,-0.425774725,-0.085389769,-0.068181599,0.027616016,0.000989536,-0.00723058,-0.006757084,-0.005502542,0,0,0.146130523,0.011191884,-0.005056438,-0.004129632,0.016577798,-0.011043596,0.013604462,0.028782162
47,0,0,0.033644175,-0.09330092,0.013974551,-0.002940403,0.022198641,0.017757231,-0.014947072,-0.017651459,0,0,-0.015634915,0.042266632,0.019652766,-0.021239978,0.009027047,-0.0104814,-0.015968071,-0.020198435,0,0,-0.06940256,0.048033656,0.032819592,0.04081541,-0.004290315,0.019578111,-0.01297722,-0.027720895
48,0,0,0,0.042457645,-0.013032807,0.050422496,-0.005161496,0.016682065,-0.007128634,0.005864899,0,0,0,-0.077036085,-0.074120035,-0.026822511,0.028496308,0.004392705,0.029315158,0.003665523,0,0,0,-0.022724229,0.008786165,-0.006741462,0.037974891,-0.016542874,-0.016450536,0.006538037
49,0,0,-0.731032046,0.025986792,0.035572392,0.032289225,0.036211406,0.024948654,0.030299393,-0.002187087,0,0,-0.422608537,-0.044408731,-0.046821918,0.037512065,0.009740964,-0.033354863,0.039572049,-0.046250249,0,0,-0.125908649,-0.037182507,-0.106935605,0.016399129,-0.036339237,-0.015236756,0.038575104,0.014103293
50,0,0,0,-0.005613029,0.098012064,0.028263786,-0.028699616,-0.006396884,0.029666772,0.050147721,0,0,0,0.058421936,-0.057913286,0.042994918,-0.042530787,-0.033307573,-0.010383755,-0.002918225,0,0,0,0.040740609,0.028759777,0.011982935,0.0040971,-0.009899024,-0.01043564,-0.026482088
51,0,0,0.391123898,0.013405908,0.017258513,-0.088654203,0.000525923,0.031430593,0.023586154,-0.033784043,0,0,0.336730591,-0.081505614,0.072262939,0.01517171,0.005856146,0.050780583,-0.021179631,0.004375941,0,0,-0.856524726,-0.077748258,-0.012799016,0.028765544,-0.033461747,-0.008403732,0.004016338,0.009990081
52,0,0,0.418953343,0.064818067,-0.00905506,0.041151727,-0.016590309,-0.025209495,-0.011860193,0.018728468,0,0,0.846684545,0.021991909,0.095500407,-0.026634111,0.038772994,0.045069937,-0.01420794,-0.035347779,0,0,0.167269202,-0.045311272,-0.022322423,0.033027643,0.0120178,-0.013493026,0.019083348,0.001722499
53,0,0,0,0.072356863,0.013982376,-0.017994592,-0.01335881,-0.001240211,0.043704147,0.054931064,0,0,0,-0.13128289,0.032240545,-0.030654332,0.030607989,0.010384152,-0.067692976,0.020486133,0,0,0,0.081738539,0.027846816,-0.025308325,-0.014478824,0.010463585,0.005836928,-0.016173409
54,0,0,-0.98583428,0.170343883,0.087257262,0.022065648,-0.019622368,0.063070054,-0.036677543,0.041582623,0,0,-0.123340767,-0.103326403,0.065473197,0.021918164,-0.020399333,-0.0092261,0.044271614,0.014170657,0,0,-0.113656626,0.085090066,-0.121126489,-0.058201958,0.001496885,0.006080925,0.009187392,0.012265078
55,0,0,-0.507120656,0.176904154,0.094195419,0.010854984,-0.032653094,-0.080573788,0.00318141,0.02011119,0,0,0.613811246,-0.081246475,0.077179983,-0.071677532,-0.028878146,-0.019951162,-0.005391879,0.023108528,0,0,-0.605032557,-0.080200984,-0.017189382,-0.038019532,-0.010065125,-0.004289397,0.021066822,-0.040599188
56,0,0,-0.665602003,0.080161017,0.020293736,-0.067181056,0.014453987,0.019197488,0.073000871,0.003303734,0,0,0.095912328,0.294096215,-0.102736697,0.037559765,-0.016410981,-0.042945704,-0.032853796,-0.014111016,0,0,-0.740118098,0.106176299,-0.014227196,0.001975323,0.001725272,-0.006742112,-0.028200137,-0.019900297
57,0,0,0,-0.191371347,0.062584744,-0.02352726,-0.023718799,-0.036086335,0.041400284,-0.000736606,0,0,0,0.220906049,0.034914375,0.027588581,0.002335809,-0.036280703,-0.061067021,-0.038737888,0,0,0,-0.208155536,0.0050151,0.001015249,-0.010164905,-0.003231722,0.000537537,-0.035197458
58,0,0,-0.5493694,-0.031800644,0.022319305,-0.024342187,0.034690931,-0.012177328,-0.025468191,-0.062965333,0,0,-0.818422513,-0.036647274,0.065852185,0.030126787,0.036152101,0.016457139,0.088893403,0.009522718,0,0,0.168457273,-0.047933566,-0.040677706,-0.068007538,0.037450738,-0.021848255,0.028791916,0.002086093
59,0,0,0.559073254,-0.158783084,-0.036738401,-0.01044789,0.030883282,-0.019838852,-0.054127302,-0.029942042,0,0,0.318732869,-0.23903206,0.152754331,0.044771332,0.032482021,-0.005059048,0.009898099,0.053257985,0,0,-0.247647463,0.021951592,-0.016143271,0.04411539,-0.006990538,0.007698428,0.017050799,0.026282967
60,0,0,0,-0.293012684,-0.187433634,-0.045690033,-0.064934211,-0.017731725,-0.021326547,-0.024340103,0,0,0,-0.125663758,-0.094348636,-0.043936591,0.010305177,-0.008057903,-0.02462983,-0.027214015,0,0,0,0.017681918,-0.079009683,-0.015543226,-0.04970793,-0.025031597,-0.00331206,0.005494041
61,0,0,0,-0.008129688,-0.067186881,0.088592639,0.039427866,0.011684648,0.009724194,0.065162703,0,0,0,-0.092519388,-0.040675481,0.020286501,0.07432868,0.002865828,-0.025361577,-0.065344092,0,0,0,-0.063331382,-0.04960155,-0.010921906,0.014415151,0.039369266,-0.00375864,0.01323871
62,0,0,-0.227762154,-0.258786289,0.062667461,0.015246562,-0.045883671,-0.016249705,-0.019573769,-0.097420462,0,0,0.673452036,0.117878432,0.043135312,-0.001774585,-0.033675284,0.041166571,0.046816626,0.017736929,0,0,-0.703268624,0.177969428,-0.003392277,0.000753514,-0.001214675,-0.01028329,0.010863985,-0.031305885
63,0,0,0,-0.16422194,0.069980595,0.061610961,0.049373425,-0.028261672,-0.026630731,0.013907659,0,0,0,0.058677928,-0.098647154,-0.08596542,-0.021270459,-0.03559652,-0.041263526,-0.00043651,0,0,0,-0.130433277,0.020515755,-0.008815314,-0.01024496,0.056686178,0.028633283,-0.012493111
64,0,0,-0.975429141,-0.031661573,-0.030657667,-0.020329822,0.090020215,0.007511952,0.035695093,-0.001118573,0,0,0.219519255,0.045084866,0.105316262,0.000656785,-0.019308704,0.025705748,0.018985807,-0.01605638,0,0,-0.018689242,-0.034843703,-0.04229974,0.046494408,0.020544521,-0.023220858,-0.008605818,0.009382193
65,0,0,0,0.345295451,0.031826367,0.014414825,0.012190381,0.039958524,-0.020035778,0.034355564,0,0,0,-0.377449528,-0.082534896,-0.036734403,0.031216659,0.004346995,-0.021034395,-0.021856894,0,0,0,0.265468536,0.051481213,-0.036119953,-0.001290716,0.016925131,0.003118285,0.041886256
66,0,0,0,-0.074432426,0.018464768,0.049593252,0.066196823,0.011266329,-0.024940353,-0.016662916,0,0,0,0.118671846,-0.019398524,-0.059004794,-0.000397747,0.070413856,0.009932714,-0.010706245,0,0,0,-0.218022265,-0.117376859,-0.022686272,-0.003928538,-0.010231277,-0.002320574,-0.010533391
67,0,0,0,-0.029813626,-0.009138024,0.015060906,0.025509985,-0.058393211,0.009947465,0.031203063,0,0,0,-0.231211102,0.02978656,0.026016341,0.054878847,-0.058676607,0.070843441,0.053122299,0,0,0,0.073339974,-0.080352957,0.057717126,0.003954942,0.02203157,0.026234575,-0.007248151
68,0,0,0,0.100194534,0.110200104,0.084578498,-0.060687563,-0.004362231,-0.059664858,-0.026997256,0,0,0,-0.022491519,0.009218555,0.083993181,-0.053060314,0.042479052,-0.027184361,-0.000537927,0,0,0,-0.209194495,0.128774139,0.050964065,0.01294644,0.029096291,0.001126104,0.033612653
69,0,0,0,0.343909714,-0.019205581,-0.058809633,-0.049922795,0.067432324,-0.046109394,0.038971305,0,0,0,-0.05482916,-0.057051254,0.004475483,-0.016557853,-0.008169609,0.011842912,0.048538366,0,0,0,-0.232249063,-0.067454829,-0.049677206,-0.004184405,-0.043438598,-0.001954149,0.026773395
70,0,0,0,0.066139898,0.162825841,-0.008633517,-0.031371171,0.05299561,-0.010686655,-0.028066165,0,0,0,0.270197821,0.141437483,0.018397072,-0.097375612,0.010814654,0.000356585,-0.033922111,0,0,0,0.094876747,-0.036584165,0.014669102,0.002484499,-0.014797351,-0.014806172,0.019578423
71,0,0,0,0.097493638,-0.074338051,0.055388248,0.012126457,0.034361911,-0.025109199,0.022336086,0,0,0,-0.077511942,0.13062672,-0.158965635,-0.035003318,0.024297534,0.04645023,-0.113261037,0,0,0,0.075305988,-0.005380931,0.037462361,-0.016951511,-0.062502137,-0.014857614,-0.010310766
72,0,0,0,0.24049704,-0.171236777,-0.05359516,-0.00636106,0.012730192,0.003197929,-0.035531352,0,0,0,0.170559763,0.013155866,0.013914366,-0.026381161,-0.059693093,-0.012627086,-0.026002069,0,0,0,0.252779295,-0.17643594,0.013923241,0.021293766,0.050823936,0.01459572,0.001841531
73,0,0,0,-0.117176249,-0.095988522,-0.104533382,0.013002358,-0.014774458,0.046431265,0.058865276,0,0,0,0.034591257,0.219660728,-0.028934837,0.029758478,0.010798418,0.034050298,-0.026229325,0,0,0,-0.081457696,0.110895526,-0.036344448,-0.029052379,0.014596901,0.024721998,0.036064516
74,0,0,0,0.101125356,-0.003003394,-0.108322719,-0.007622424,0.00638541,-0.040779891,0.052205497,0,0,0,0.050920504,-0.233073813,0.025731537,0.034798732,0.004159929,0.026598943,-0.014513424,0,0,0,0.150856159,-0.14482293,-0.003959075,0.000641468,0.039828432,0.001848589,0.006810828
