# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Updated, 05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Name,"Mean three principle semiaxis r_lambda1<r_lambda2< r_lambda3 (Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo. Halos are assumed to be ellopsoids with three principle axis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [3]  Eq. (67)(68)(69) Fig. 19,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,,,,,,,,,,,,,,,,,,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
11,0,0.00812193,0.013235949,0.016633229,0.019354087,0.023682815,0.030109344,0.033871307,0.038368766,0.041454361,0,0.016514244,0.020312812,0.026563957,0.031509079,0.039244749,0.051053975,0.057659871,0.066284852,0.07180244,0,0.022515656,0.035004138,0.045842499,0.054538421,0.068026956,0.088936368,0.100357071,0.116038185,0.125520961
12,0,0.007198704,0.013922446,0.017612411,0.020375314,0.024838227,0.031689421,0.035726587,0.040783601,0.043837862,0,0.010609939,0.020963192,0.027456541,0.032712791,0.040420842,0.052548074,0.059764635,0.068796913,0.074198408,0,0.028952266,0.036334549,0.046961811,0.055577616,0.069596952,0.090717109,0.102622364,0.118045347,0.128060221
13,0,0,0.01420628,0.018245526,0.021300593,0.026071029,0.03335937,0.037328367,0.042999758,0.046060498,0,0,0.021562438,0.028208081,0.033694237,0.041887246,0.054264942,0.06153082,0.070711118,0.076141012,0,0,0.037349785,0.047367908,0.057136362,0.071183221,0.092519082,0.105276336,0.121438334,0.131530347
14,0,0.011664806,0.015148477,0.019132278,0.022371275,0.027053246,0.034550911,0.039128209,0.04474921,0.048247056,0,0.017921604,0.022522001,0.029011347,0.034641197,0.042835638,0.055684289,0.062965076,0.07264231,0.079098641,0,0.023203596,0.037983966,0.049015012,0.058623331,0.073724637,0.094518121,0.107063288,0.122347126,0.133069528
15,0,0.009329914,0.015156083,0.019683555,0.023040122,0.028006824,0.036001822,0.0405616,0.046438902,0.049754461,0,0.017273179,0.023180359,0.029527233,0.03564714,0.043830232,0.056982411,0.064907583,0.074451178,0.080079342,0,0.024657191,0.039772534,0.05074219,0.060244688,0.073789597,0.096268554,0.108997096,0.124270394,0.134878173
16,0,0.011926137,0.015680025,0.020309437,0.02371693,0.028730943,0.037301714,0.041987202,0.048083802,0.051785199,0,0.018947135,0.023406004,0.030572291,0.035843056,0.044604343,0.058533877,0.066312642,0.076379801,0.082793774,0,0.026241283,0.039128788,0.052196528,0.061550855,0.075111889,0.09871755,0.111854217,0.127049401,0.13813935
17,0,0,0.015996607,0.020873863,0.024384879,0.029653442,0.038318035,0.043064983,0.049125516,0.053132005,0,0,0.024044241,0.030899756,0.036886283,0.04575426,0.059909994,0.067468949,0.07694931,0.083974791,0,0,0.043328497,0.052845309,0.061750217,0.077187247,0.099581233,0.112826578,0.129208406,0.139596566
18,0,0,0.016238596,0.021233877,0.024888619,0.030595022,0.039258782,0.044558068,0.050821632,0.054662794,0,0,0.02375,0.031226541,0.037279397,0.046595911,0.060941651,0.068826236,0.079065048,0.085143041,0,0,0.04310899,0.051967298,0.064336972,0.078693576,0.101717908,0.114625722,0.130321721,0.141330309
19,0,0,0.016680412,0.021840396,0.02533574,0.031320299,0.040351099,0.045518659,0.052229703,0.056622699,0,0,0.024938469,0.032315885,0.038171672,0.047553596,0.061873561,0.070225572,0.080637909,0.087186041,0,0,0.044834846,0.054835302,0.063940916,0.079473919,0.102764814,0.115523066,0.132374248,0.143501644
20,0,0,0.017555396,0.022277921,0.026231565,0.031791285,0.041286191,0.046859385,0.053500024,0.057657884,0,0,0.024956213,0.032368959,0.038960179,0.048498015,0.062860783,0.071313482,0.082210636,0.088373524,0,0,0.044003301,0.055749267,0.065944525,0.081356357,0.104089623,0.117371664,0.135162597,0.145456852
21,0,0,0.016849442,0.02256243,0.026728358,0.032661202,0.042219086,0.047308739,0.054471657,0.059292758,0,0,0.0247458,0.032764747,0.039246921,0.048771602,0.064085582,0.07230053,0.082860073,0.090364554,0,0,0.045073618,0.056079522,0.066577228,0.081982857,0.105955907,0.119779594,0.134855842,0.145834084
22,0,0,0.017906054,0.02311153,0.027196205,0.033326119,0.043027206,0.048274349,0.056031796,0.060054267,0,0,0.024842529,0.03373027,0.040098908,0.049578955,0.064387771,0.073096135,0.084684991,0.091681082,0,0,0.046452763,0.056781223,0.068580041,0.08307368,0.10725609,0.120408881,0.138448179,0.148163157
23,0,0,0.018296711,0.023322948,0.027316564,0.033741654,0.044234115,0.049302595,0.057277822,0.061582825,0,0,0.024852363,0.033929208,0.040506828,0.050625371,0.066022222,0.07432118,0.085990173,0.092658557,0,0,0.039812855,0.058166649,0.068345287,0.084465709,0.108847462,0.122478515,0.138518743,0.14942975
24,0,0,0.018749022,0.023830378,0.028049077,0.034422449,0.045024773,0.050279588,0.058038892,0.062613805,0,0,0.026176464,0.034726735,0.040979876,0.050527209,0.067023182,0.075359778,0.086688908,0.093950438,0,0,0.048820433,0.059462053,0.069618167,0.085071767,0.109557302,0.122879158,0.140905548,0.150635521
25,0,0,0.02051799,0.024039896,0.028484397,0.03487618,0.044906287,0.051620413,0.059313595,0.063598893,0,0,0.027182156,0.036016563,0.041396115,0.051649492,0.066503889,0.077330315,0.088301006,0.095318545,0,0,0.047362888,0.062031836,0.07029113,0.087045152,0.109837961,0.125570439,0.142623147,0.151567363
26,0,0,0.018674025,0.024571561,0.028869643,0.036006358,0.045917569,0.052054525,0.059830045,0.064417735,0,0,0.02753314,0.035771684,0.041859279,0.052238509,0.06801858,0.077917912,0.088484765,0.096517861,0,0,0.049943666,0.059873697,0.071797102,0.087956887,0.111784636,0.127225272,0.144707496,0.153696362
27,0,0,0.020387008,0.025178664,0.029443624,0.036167075,0.047221245,0.053083715,0.061028469,0.065804645,0,0,0.028758648,0.035644041,0.042504074,0.052613901,0.06954575,0.078442904,0.090074807,0.096831082,0,0,0.050959303,0.060291235,0.073288658,0.087768849,0.113155169,0.127200523,0.145410948,0.155923158
28,0,0,0.019374306,0.025664549,0.029703561,0.03679127,0.047758141,0.05425828,0.062599764,0.067525522,0,0,0.028081317,0.035792815,0.042799691,0.053141259,0.070415735,0.079634349,0.090885976,0.099317512,0,0,0.049073267,0.063101814,0.071567226,0.089766841,0.11480031,0.126846208,0.146090805,0.156879832
29,0,0,0.018693239,0.025469036,0.030209354,0.037056306,0.048168263,0.054779405,0.063036495,0.06785812,0,0,0.027667043,0.0366589,0.043885965,0.053788388,0.070528748,0.080373914,0.092472762,0.098853032,0,0,0.049467747,0.064098366,0.073508277,0.091745256,0.11653525,0.129554478,0.146201025,0.158567381
30,0,0,0.018631649,0.025965345,0.030605834,0.037401267,0.04878483,0.055884459,0.063547778,0.069490043,0,0,0.027780054,0.036067548,0.044042688,0.054752956,0.070715914,0.080891121,0.092106484,0.101007682,0,0,0.048803164,0.064632031,0.07475806,0.091959703,0.116232616,0.131834304,0.149899009,0.159541342
31,0,0,0.020899121,0.026536292,0.030653212,0.037724046,0.049411413,0.056098824,0.064914014,0.069891544,0,0,0.028353292,0.037028368,0.044552381,0.054592982,0.072012042,0.081677202,0.093712878,0.102258105,0,0,0.055712445,0.064576664,0.078969061,0.092258836,0.119074004,0.132733264,0.14845237,0.160686971
32,0,0,0.019700567,0.02677621,0.031360081,0.038330497,0.049746325,0.056525856,0.065196247,0.070518622,0,0,0.029867714,0.036600469,0.045105623,0.055653586,0.072492092,0.082669848,0.095198638,0.101995929,0,0,0.04245043,0.062579275,0.077532459,0.094095543,0.117912855,0.132924754,0.153904281,0.159949128
33,0,0,0.020357321,0.0269782,0.031398669,0.038464453,0.051262896,0.057836887,0.066247776,0.071892407,0,0,0.031311114,0.037642081,0.044708302,0.056248518,0.074335167,0.083357867,0.095908838,0.104773683,0,0,0.047139887,0.069408967,0.076355463,0.094269815,0.120106519,0.134137148,0.151240126,0.165442315
34,0,0,0.01930595,0.027410169,0.031772902,0.039184364,0.05135737,0.058371643,0.067564816,0.072111101,0,0,0.028334946,0.038952808,0.04492293,0.05689136,0.074568607,0.084414612,0.096764482,0.10478366,0,0,0.05573548,0.067146457,0.075953461,0.096303048,0.123528968,0.136035927,0.152595312,0.166080004
35,0,0,0.020031403,0.026946011,0.031884807,0.03933579,0.052111163,0.059015641,0.068381314,0.073891238,0,0,0.026308458,0.038786336,0.04594367,0.0575943,0.074305639,0.084925043,0.097805386,0.105813459,0,0,0.051099733,0.067121695,0.079650064,0.095918702,0.122164128,0.135961017,0.156704394,0.167359714
36,0,0,0.022181473,0.027329665,0.032668471,0.039800113,0.052609076,0.059761617,0.0692045,0.075053011,0,0,0.02911499,0.038825414,0.046441149,0.057277099,0.07554592,0.085042249,0.099602294,0.1067371,0,0,0.044308012,0.068694586,0.079435272,0.09545063,0.124211157,0.136880821,0.156130987,0.169860581
37,0,0,0.021227636,0.028062706,0.033122808,0.04066741,0.052989068,0.060278965,0.069584321,0.07555491,0,0,0.030836578,0.039510553,0.046733475,0.058582655,0.075801734,0.086763784,0.099336094,0.107974813,0,0,0.05224441,0.068012146,0.083975996,0.098364866,0.123330411,0.139673852,0.156468496,0.16899824
38,0,0,0.023966599,0.027420679,0.033113247,0.040894881,0.052978964,0.061230203,0.069872618,0.076443698,0,0,0.033133207,0.03924592,0.047354916,0.058414047,0.076088762,0.086980353,0.100095317,0.108428059,0,0,0.062447002,0.065543737,0.083427665,0.09918766,0.12552598,0.141806606,0.159555932,0.169997965
39,0,0,0.0261251,0.028334443,0.032603947,0.040794398,0.05355842,0.061231146,0.071558065,0.076698115,0,0,0.028327273,0.039763523,0.047380463,0.059191722,0.076356446,0.08747194,0.101919754,0.108858491,0,0,0.060513744,0.070042496,0.081589472,0.099228132,0.125943223,0.138927929,0.160667221,0.171413502
40,0,0,0.030035075,0.029279827,0.033584649,0.041869654,0.055378048,0.06193092,0.070569899,0.078069691,0,0,0.03519462,0.040882469,0.047684683,0.059205071,0.077674622,0.088380075,0.100424545,0.110659204,0,0,0.041643607,0.068035125,0.082243505,0.101179519,0.126515101,0.140971543,0.159850628,0.174962695
41,0,0,0.021493579,0.027882347,0.034462751,0.042411294,0.055065074,0.062613841,0.071528892,0.078128693,0,0,0.031936249,0.041530864,0.047973268,0.060410598,0.078820444,0.088656386,0.100862049,0.111031536,0,0,0.071946876,0.070798638,0.0831388,0.10126983,0.127390823,0.142152226,0.159679347,0.172812612
42,0,0,0.019667732,0.028723758,0.033805141,0.042510056,0.055494547,0.062656811,0.072452871,0.079289906,0,0,0.033819476,0.039818819,0.048113482,0.059801349,0.079078299,0.08945345,0.102746467,0.111826052,0,0,0.045103773,0.075082235,0.081295435,0.102997237,0.129965038,0.141945132,0.161653835,0.176515356
43,0,0,0.020730653,0.029984528,0.033842835,0.042568801,0.055658291,0.064201058,0.073534778,0.08012883,0,0,0.028992733,0.038999856,0.048506856,0.060704311,0.078962067,0.090464078,0.103504458,0.112616138,0,0,0.046087031,0.070449571,0.080549709,0.104318234,0.129521277,0.145813552,0.164301114,0.178213888
44,0,0,0.027141748,0.028756479,0.035207915,0.042741942,0.057327163,0.064522149,0.073751821,0.080482845,0,0,0.034195746,0.039902393,0.049467957,0.060614287,0.081810879,0.091322438,0.104897388,0.11349243,0,0,0.039708348,0.068521987,0.087406112,0.102795841,0.133121675,0.1476696,0.162567937,0.176423405
45,0,0,0.021695104,0.028991761,0.034642143,0.043177596,0.057117321,0.065289164,0.075006684,0.08150224,0,0,0.032362793,0.041245744,0.050172681,0.061360743,0.08032028,0.091513624,0.105934134,0.114240408,0,0,0.049183858,0.071862893,0.0836054,0.106012888,0.131058657,0.147612148,0.167339409,0.178979558
46,0,0,0.020549813,0.029753945,0.035879496,0.042814822,0.05753897,0.065219153,0.074802435,0.080814731,0,0,0.031747929,0.043421829,0.049397952,0.06033281,0.080876366,0.092010871,0.10602707,0.114308443,0,0,0.06498169,0.073684513,0.087422064,0.10429734,0.133127216,0.146925361,0.165441025,0.175888415
47,0,0,0.020170534,0.029745799,0.035659179,0.043747423,0.057052412,0.065538056,0.077444308,0.08209509,0,0,0.02732964,0.040943869,0.049735412,0.062415238,0.081306926,0.092398658,0.106644816,0.114449011,0,0,0.101186449,0.073951499,0.090539233,0.105752292,0.131436738,0.147260968,0.170300092,0.179781843
48,0,0,0,0.028961327,0.036369531,0.044705201,0.057680105,0.06609929,0.076656268,0.082587681,0,0,0,0.042689819,0.051459237,0.063479551,0.081905892,0.092792732,0.107956173,0.114396842,0,0,0,0.073120359,0.090015743,0.106652873,0.136797936,0.150636465,0.168059887,0.183496129
49,0,0,0.021667244,0.028420372,0.036617133,0.044690099,0.059057892,0.066548774,0.077897445,0.084630322,0,0,0.036372375,0.041902364,0.051221639,0.062393795,0.082655183,0.093917608,0.108385381,0.11689387,0,0,0.07262802,0.065672709,0.087072768,0.105653996,0.136149565,0.148863381,0.172612262,0.181389957
50,0,0,0,0.030198292,0.036947135,0.04439388,0.059773524,0.067208732,0.07922416,0.083549527,0,0,0,0.043769093,0.050878227,0.062881075,0.083183431,0.094426538,0.11058069,0.116839214,0,0,0,0.077196836,0.085444436,0.102390836,0.135194195,0.152912717,0.174878394,0.182858696
51,0,0,0.022477548,0.030233863,0.035939344,0.045898728,0.059233595,0.06835596,0.078393778,0.086549087,0,0,0.037140567,0.042012231,0.051524374,0.065583909,0.083365877,0.095348297,0.110612711,0.11960355,0,0,0.051696896,0.073960052,0.090940934,0.110347961,0.13559849,0.152950188,0.171884115,0.185986353
52,0,0,0.026313804,0.030742814,0.035595081,0.044534195,0.059641858,0.069118914,0.080495271,0.085998017,0,0,0.037001969,0.040729984,0.051398328,0.063727112,0.084175739,0.096242724,0.110306095,0.11920288,0,0,0.073072528,0.067067363,0.087748991,0.108210487,0.134154481,0.154325428,0.17462471,0.18672492
53,0,0,0,0.031141776,0.037014813,0.045718903,0.060081725,0.068668652,0.079119351,0.086925697,0,0,0,0.042073559,0.053387932,0.063692474,0.083757849,0.09516891,0.109853439,0.118860015,0,0,0,0.078791719,0.091674096,0.110135967,0.139493496,0.154320065,0.17631954,0.187017998
54,0,0,0.019019874,0.030703327,0.037580087,0.045902447,0.060549727,0.068504481,0.080397608,0.08803615,0,0,0.037781005,0.044257555,0.052293637,0.065562475,0.085203217,0.095136925,0.112594784,0.122101552,0,0,0.064200993,0.075650134,0.08953213,0.107605006,0.142467804,0.154763145,0.17635463,0.190840297
55,0,0,0.023553045,0.032120737,0.03720929,0.045920397,0.060307645,0.070148208,0.080489845,0.087243744,0,0,0.032229425,0.046281106,0.055052643,0.065245609,0.085074644,0.096630181,0.111790341,0.120573126,0,0,0.040556163,0.083819855,0.094942548,0.112961576,0.140119287,0.154206005,0.17658738,0.188067472
56,0,0,0.020611466,0.03029274,0.036849295,0.045634214,0.062125849,0.070394451,0.081382033,0.08764702,0,0,0.031873213,0.041166436,0.053763429,0.065058967,0.087111332,0.098075493,0.112934287,0.123318454,0,0,0.044682074,0.072604365,0.089723181,0.109349959,0.138623059,0.156942861,0.175942061,0.189746953
57,0,0,0,0.032980994,0.037209668,0.047862201,0.061713397,0.069455555,0.080901489,0.088094054,0,0,0,0.048542582,0.05312415,0.06569244,0.08736944,0.098611571,0.111720366,0.121890824,0,0,0,0.080918374,0.0873764,0.115873027,0.144462961,0.159071471,0.181765646,0.191410616
58,0,0,0.024323315,0.031677461,0.036838934,0.046610505,0.063148899,0.070708947,0.082428341,0.090182742,0,0,0.042330939,0.045416556,0.052356397,0.065745364,0.087804463,0.099418259,0.113804442,0.124208442,0,0,0.128988973,0.085662792,0.087235183,0.108503702,0.143778885,0.160285497,0.177785638,0.189549695
59,0,0,0.02459033,0.03383527,0.038549235,0.047277727,0.061381261,0.072221373,0.082384251,0.090657262,0,0,0.037699134,0.045475596,0.055027998,0.065767904,0.087466844,0.09940982,0.114210198,0.125133991,0,0,0.081737341,0.090541437,0.095837366,0.109558511,0.144976733,0.156687276,0.180930532,0.192160607
60,0,0,0,0.03299137,0.038540333,0.046902317,0.062839384,0.072214541,0.082732265,0.090698617,0,0,0,0.046786882,0.053213773,0.067597491,0.08857081,0.09841626,0.113663814,0.125335652,0,0,0,0.077983456,0.098300548,0.115589975,0.143538131,0.161727136,0.183776597,0.195498662
61,0,0,0,0.031466631,0.039218237,0.048175383,0.062805556,0.071640028,0.084734887,0.090842956,0,0,0,0.04553055,0.054387539,0.067943652,0.087855865,0.097917159,0.116234571,0.125172567,0,0,0,0.088681762,0.088246354,0.119704294,0.141369642,0.160703439,0.181619585,0.196631347
62,0,0,0.022551438,0.02966959,0.037478935,0.047671207,0.064035395,0.072367154,0.085899718,0.09155456,0,0,0.03234352,0.045022689,0.053220513,0.067831734,0.089370231,0.100541986,0.11795098,0.124848958,0,0,0.047230143,0.077739163,0.095165338,0.118488646,0.146798066,0.164269421,0.187108088,0.192913976
63,0,0,0,0.032923619,0.039917052,0.04734258,0.062951848,0.072712666,0.086840494,0.091968081,0,0,0,0.043181145,0.058896861,0.066303257,0.088522548,0.101939702,0.11712051,0.124938803,0,0,0,0.080042548,0.09837482,0.117884979,0.148971464,0.162213396,0.186565534,0.195346198
64,0,0,0.024448681,0.030716503,0.039547179,0.048361494,0.065251698,0.072389737,0.083849794,0.094091595,0,0,0.054589029,0.043868998,0.055610562,0.06703714,0.088826813,0.102176793,0.118104602,0.127922937,0,0,0.13225938,0.078018333,0.10359464,0.116406473,0.14689378,0.164963956,0.184289454,0.197166075
65,0,0,0,0.032007015,0.0387689,0.047891334,0.064157075,0.074905922,0.08598581,0.092730485,0,0,0,0.045998315,0.056718063,0.067646694,0.089715056,0.102923385,0.117729059,0.125880329,0,0,0,0.081984705,0.096197676,0.124133979,0.149847411,0.164068493,0.188259586,0.195423426
66,0,0,0,0.032799428,0.037996443,0.049655654,0.063976509,0.072842461,0.086356661,0.092270187,0,0,0,0.051114972,0.054983008,0.070244043,0.089815843,0.101787322,0.118068571,0.1276106,0,0,0,0.080947493,0.098361173,0.118491237,0.154581525,0.166166868,0.187194405,0.202228289
67,0,0,0,0.032734169,0.039717581,0.047746255,0.064775934,0.075528827,0.085200327,0.094628849,0,0,0,0.049501639,0.056356247,0.067891787,0.090064741,0.104655331,0.118214482,0.130524388,0,0,0,0.076163516,0.100465216,0.116489306,0.14694157,0.168410912,0.186125471,0.202872247
68,0,0,0,0.033997941,0.039283148,0.050082318,0.066062247,0.073764919,0.086575256,0.094975483,0,0,0,0.045767011,0.056025711,0.069641872,0.09146532,0.104007728,0.119818629,0.131296395,0,0,0,0.080410779,0.103425261,0.11685032,0.145986627,0.164300294,0.192496865,0.200005878
69,0,0,0,0.035425067,0.04031661,0.048023035,0.066983249,0.073752414,0.086436874,0.094172027,0,0,0,0.049653386,0.057571718,0.067684039,0.092860537,0.10287605,0.119275296,0.12842703,0,0,0,0.100730267,0.098046523,0.124701445,0.153786203,0.169941519,0.197875481,0.203460868
70,0,0,0,0.033400606,0.039845509,0.049437568,0.065966079,0.075506941,0.088173917,0.095601454,0,0,0,0.046020111,0.054977586,0.06852354,0.092078121,0.105528599,0.12052225,0.131133718,0,0,0,0.095890711,0.099191445,0.116368381,0.153310096,0.169802966,0.189276771,0.205437949
71,0,0,0,0.034324798,0.039910637,0.049092654,0.066363804,0.077441807,0.088835807,0.096390094,0,0,0,0.045909293,0.058194728,0.069761543,0.093786394,0.106617759,0.120799586,0.130230042,0,0,0,0.07725751,0.100277679,0.12585731,0.153821959,0.167879701,0.194168675,0.208472915
72,0,0,0,0.032206292,0.040449072,0.050083412,0.066295067,0.076251588,0.088599035,0.096333299,0,0,0,0.048952061,0.05603616,0.072293762,0.093269148,0.105349008,0.121848576,0.130393928,0,0,0,0.071813487,0.096635441,0.120279225,0.15532114,0.168614466,0.190962032,0.208884596
73,0,0,0,0.035571669,0.041311238,0.050109324,0.067620918,0.075793157,0.089716299,0.096028466,0,0,0,0.049895235,0.05657804,0.072829088,0.093350194,0.105245875,0.124919482,0.131524669,0,0,0,0.097995876,0.1022685,0.121042699,0.153389071,0.174723315,0.198734284,0.206301267
74,0,0,0,0.032156588,0.040627283,0.050266509,0.065992059,0.077450424,0.089602497,0.098943263,0,0,0,0.043311704,0.054636423,0.070207011,0.092493769,0.106739988,0.12227365,0.135341231,0,0,0,0.085047198,0.103337471,0.121404526,0.156275425,0.173387809,0.187706292,0.203246396
75,0,0,0,0.032046091,0.040504442,0.049975606,0.066783197,0.077061966,0.090166149,0.097588947,0,0,0,0.042675837,0.053642722,0.07114141,0.093207236,0.104950382,0.124122038,0.132301905,0,0,0,0.079542627,0.097604136,0.125893821,0.157441836,0.169305302,0.193685415,0.21020413
76,0,0,0,0.035939611,0.040997045,0.050466654,0.068570924,0.07864765,0.09153192,0.097618316,0,0,0,0.048299694,0.057502279,0.071410924,0.093424122,0.107525864,0.125922208,0.133457054,0,0,0,0.089899661,0.098053528,0.125603453,0.15573946,0.171953632,0.195785458,0.208343011
77,0,0,0,0.031411949,0.039680246,0.051069804,0.068998127,0.077481809,0.09151418,0.098069055,0,0,0,0.049010154,0.05944109,0.073720114,0.094037842,0.107438219,0.125003474,0.133567497,0,0,0,0.08769797,0.099555207,0.122255663,0.153472379,0.170524879,0.193474335,0.207635118
78,0,0,0.025692992,0.035354553,0.041774379,0.052395637,0.068067332,0.077905213,0.092862216,0.100432565,0,0,0.029124766,0.052954679,0.058173509,0.07090763,0.094167397,0.10796976,0.124826644,0.137577503,0,0,0.032604143,0.076312338,0.10078947,0.12367409,0.155439421,0.179114565,0.198433117,0.212643985
79,0,0,0,0.035100454,0.041462155,0.051033846,0.068982341,0.080313798,0.09113353,0.09975281,0,0,0,0.046643588,0.056200496,0.070144904,0.094133849,0.109895451,0.124649455,0.137503761,0,0,0,0.108029459,0.115774517,0.124654646,0.151778243,0.170305784,0.200520101,0.218807053
